object_id,a_initial_AU,e_initial,i_initial_deg,a_scattered_AU,e_scattered,i_scattered_deg,perihelion_AU,aphelion_AU,v_infinity_km_s,v_esc_mut_km_s,impact_velocity_km_s,focusing_factor,collision_radius_m,encounter_miss_distance_m,contact_angle_deg,inferred_impact_age_Ga,importance_weight
302,22.141561427034468,0.13560045820656533,5.773819906229489,2.220174990054793,0.6458398433589763,4.126887814592109,0.7862975222482887,3.654052457861297,32.7219758476635,9.55,34.087097315187656,1.0851780520038081,6636790.455627924,5274592.616619871,52.63169728296259,4.177829809541084,0.02143052949753257
375,19.64806473364826,0.05857470509364407,7.440779212131065,3.307769247355485,0.7330288016362031,0.3839092319254247,0.8830791198774084,5.732459374833562,67.45714752467714,9.55,68.1297970947078,1.020042449482042,6434528.485385445,6114677.4906944195,71.85868542253588,4.183717458148195,0.22780117011462153
1804,19.557179899687664,0.04120717137021055,0.5024118642889637,12.71434124144847,0.999999,19.99269164512348,1.2714341241814078e-05,25.428669768555697,68.0917935107366,9.55,68.7582347323489,1.0196705813884683,6433355.488142965,2458595.772402227,22.467779821535302,4.080483105193899,1.311313877525105e-34
2634,26.19567839738408,0.10657563193756558,13.467933371401486,14.315305743121028,0.999999,22.52397910215837,1.4315305743532674e-05,28.630597170936312,18.071009783238956,9.55,20.43927333801077,1.279281328142432,7205939.900339477,2244237.0193293155,18.14619280860898,4.107477793676954,1.6879057632810597e-34
3239,21.574044073139785,0.04653951248952068,1.9840504926570977,2.6538125528533927,0.7760514138006258,20.488854022874573,0.5943175692496693,4.713307536457116,23.390020625588804,9.55,25.264511965709328,1.1667038130385123,6881576.049464565,5688551.252539233,55.754601588851706,4.152439899259115,2.755524874642129e-06
3720,42.301257747519436,0.041517132892615466,0.6634868857733363,3.5265521417526644,0.7843535816203844,13.229902804421842,0.7604883385979246,6.292615944907404,36.735034383473,9.55,37.956096363495334,1.0675843033992187,6582770.208066613,2449720.3447634713,21.847734567863224,4.019738189121635,0.008203808798146152
4024,15.243485161089396,0.21201149016921253,9.69171835481791,11.519452927221954,0.9860754314476119,13.267256022725283,0.16040341197110994,22.878502442472797,50.81143121155218,9.55,51.70110290667211,1.0353251396455536,6482551.637780287,2413816.095386901,21.860982881176025,4.1144522462612025,1.383759177385051e-24
4233,42.40347381259369,0.23175384204165764,12.216014940642564,29.53251313300349,0.999999,7.119051281368147,2.9532513133852718e-05,59.06499673349384,66.81191487067363,9.55,67.4909954637368,1.02043143663108,6435755.253112861,920682.1863579075,8.224801620165561,4.211832025314755,5.102263440738213e-35
5343,28.50047713945835,0.11808004439710292,0.6974562106855802,4.074277864358584,0.999999,3.0806342112551386,4.074277864475743e-06,8.148551654439304,69.20496090802202,9.55,69.86078380809117,1.0190428649672902,6431374.973723253,394965.0632997795,3.5208769603161167,4.1897869829579655,7.182064879296906e-35
6024,30.812356798521698,0.11837297104757828,2.959740776431774,2.1790489218554883,0.8968859798440795,0.4386789967178082,0.2246904944489437,4.133407349262033,59.300063954114464,9.55,60.064133099230396,1.0259356071763046,6453089.026536302,2355036.923380755,21.40433478616156,4.0883379208560235,4.5922980539310755e-21
6413,18.180692841930572,0.04381143381316676,0.028113042968701943,6.676671695207913,0.999999,16.824622165869652,6.676671695399906e-06,13.353336713744131,50.03591449416713,9.55,50.93913269057105,1.0364286485455618,6486005.455330695,2306237.5042373217,20.828463158419744,4.013585822060675,7.654851415561784e-35
7091,15.403141905943384,0.09093635606298912,6.810457096206086,3.4119448721642476,0.999999,1.2520799188406313,3.4119448722623604e-06,6.823886332383623,50.476409940875,9.55,51.37188394948413,1.0357956147701675,6484024.379418649,2874663.8077673134,26.3175404954456,3.958086677722342,2.8411816237797265e-35
7855,30.54280890894312,0.1248693869202952,2.5143970340426174,11.333072673773247,0.999999,3.8938018658014233,1.1333072674099136e-05,22.66613401447382,52.38685551732242,9.55,53.25021249716112,1.0332324286599228,6475996.70698375,2848997.1620794195,26.099532490113223,4.190135468602654,7.254710547122987e-35
