object_id,a_initial_AU,e_initial,i_initial_deg,a_scattered_AU,e_scattered,i_scattered_deg,perihelion_AU,aphelion_AU,v_infinity_km_s,v_esc_mut_km_s,impact_velocity_km_s,focusing_factor,collision_radius_m,encounter_miss_distance_m,contact_angle_deg,inferred_impact_age_Ga,importance_weight
1988,22.504971852465975,0.0889640226088949,12.03321599840065,6.518705461547986,0.999999,7.524399684544883,6.518705461735436e-06,13.03740440439051,37.11542653275222,9.55,38.324370662910134,1.0662060734421566,6578519.72354243,4860982.552305843,47.63927436070813,4.225936919439324,3.908846592708935e-35
3966,34.5344881299631,0.009197590441860165,3.5893429678509534,13.75124612424198,0.999999,2.234456900438738,1.3751246124637407e-05,27.502478497237835,37.07644767341027,9.55,38.286622625652555,1.0663453528991615,6578949.388481057,503995.5108996038,4.393579217765698,4.176529647992543,8.550694117994632e-35
7205,18.229702147398015,0.10705843107040904,7.0996415207262675,5.877115157847888,0.999999,36.37205886564566,5.877115158016889e-06,11.754224438580618,59.47577149737555,9.55,60.23761196468556,1.025782591913848,6452607.779017146,2580413.9577598344,23.57208318645808,4.1525318006845495,1.0464297597789296e-34
7528,36.08061176329907,0.03510788657280493,0.4463179427773839,3.6180380204196165,0.7258228391153986,31.99141818566192,0.991983392411194,6.244092648428039,64.49469229225386,9.55,65.19791280303772,1.0219259688644178,6440466.458633559,2321248.642584129,21.125760348264894,4.199862135724003,0.5012154391023559
9502,33.73551857753959,0.0543041109127189,3.1803730833252866,2.451713290603228,0.9745869684057094,11.711884267846411,0.06230546731424212,4.841121113892214,43.27409561304491,9.55,44.315345548996376,1.0487024425314861,6524297.330607807,4074963.035382994,38.65156296674888,4.24857143367966,2.950166753758101e-31
9775,18.0414644481608,0.077326667908846,8.665089973477324,6.125339611273696,0.999999,10.601047681550677,6.125339611449834e-06,12.25067309720778,36.940729054745,9.55,38.15520885929051,1.0668337482601735,6580455.8237682,4008792.610195144,37.531448786686944,4.132020051921231,1.2462698037354444e-34
9778,37.28719940696971,0.12832356474835074,5.124611821010292,26.713068543762795,0.999999,3.4014089248955797,2.6713068544530945e-05,53.42611037445704,40.33817447894157,9.55,41.45323654786841,1.0560498252470572,6547112.591432256,2720076.5061807437,24.54841433278407,4.235457337845211,3.1976171133615775e-35
9975,15.214149686596471,0.15161756147975902,2.838664548006137,5.050639831582045,0.999999,5.242738827777573,5.05063983172728e-06,10.101274612524259,21.422080765236384,9.55,23.45438219847862,1.1987391547789443,6975413.388833724,4848099.353927664,44.02935409106004,4.170221600802514,1.031921254006209e-34
10710,25.616575056086454,0.06606368838204195,1.1660678455669506,2.480601029610634,0.9315588976523957,5.313157656914116,0.1697750689511539,4.791426990270114,16.053836571592115,9.55,18.67961907179556,1.3538743365050794,7413047.502738289,7412869.973133997,89.60347050407078,4.239412672346148,1.3084013789778671e-24
10821,41.6497840588592,0.07399043939033909,10.27503586945217,2.507468481186454,0.677086466897883,9.038827005960915,0.8096955064021171,4.205241455970791,66.80594510387411,9.55,67.48508576879665,1.0204350882929651,6435766.768428978,2044148.1779043635,18.519240662243625,3.947765155059508,0.010588335090776573
11143,37.89027481597459,0.2193417267347266,9.627755379354932,4.2086395294446195,0.9787461142146362,20.320556795341325,0.08944994387058319,8.327829115018655,24.422924135304516,9.55,26.223686303013157,1.152901386057581,6840749.474178952,3653053.2819798114,32.277041180836484,4.163649451234452,6.678596648319674e-29
11317,20.80199548135937,0.018710541016675197,11.19972295677723,2.6587343359815727,0.999999,0.9273161200861963,2.6587343360580265e-06,5.317466013228809,58.05391139085822,9.55,58.8341663302678,1.0270609956667127,6456627.37806778,5797879.343875164,63.89293931340526,4.128116352924269,1.2213534643772659e-34
11374,15.257554990187922,0.20879793774790387,18.9931571127455,62.79670699816297,0.999999,9.215565749146378,6.279670699996873e-05,125.59335119961892,32.08405316376995,9.55,33.47519928866169,1.088598891560109,6647242.902243212,2681332.919858099,23.789348672183852,4.0901975051001545,1.379607688390537e-34
11981,24.685572516340386,0.047904235404863424,6.986154550488204,2.065909627390455,0.5172167952937512,2.672153950482662,0.9973864705450562,3.134432784235854,46.84833115057868,9.55,47.81180431226456,1.0415545413641636,6502024.678197634,5278223.965025905,54.27036509046733,4.062155595081623,1.0
12764,16.495451830083727,0.06263391695715631,9.530737872303314,4.520456194607616,0.8445846564200037,5.377557569498372,0.7025482526232653,8.338364136591967,38.1269637466951,9.55,39.30480714291576,1.062739680138659,6567817.148283211,1069123.9158094025,9.368423806080415,4.117114326293734,0.0011108488957715529
13806,19.989871914292554,0.08326392413346477,7.04806316274097,3.888342953188326,0.810445030972504,10.310640317489984,0.7370547280598955,7.039631178316756,67.19071510135979,9.55,67.86600545068275,1.0202017139187451,6435030.793675083,3557768.6717161704,33.564485350713504,4.003342217166585,0.0023821073926588022
14059,42.4878440199486,0.030750468269028875,6.780122662237444,1.4803212817242315,0.5350145549072417,15.099919944653182,0.6883278500628243,2.2723147133856387,15.684667462086258,9.55,18.363313791258573,1.3707286180340197,7459047.024548578,5300186.860087763,45.28144002818701,4.274683905855148,6.868936534884694e-05
15654,17.015201881042525,0.16022786809725376,20.82557743541652,9.132078613311881,0.93334263129073,3.89060673131112,0.6087203312095689,17.655436895414194,70.6485274456366,9.55,71.2910718830687,1.0182726070528034,6428943.891527392,2044868.0579159637,18.546377171385362,4.028893825377481,4.7086485218838885e-06
17446,31.700143785399817,0.1024546956802867,0.45481867345684857,1.9323496059025984,0.999999,6.661487566702657,1.9323496059581645e-06,3.8646972794555907,52.43449669336232,9.55,53.297081941568095,1.0331720671485622,6475807.540128724,4470324.973499683,43.65477865983574,3.9182163869172166,9.885274260960542e-36
17494,23.832686478603026,0.09219784712196043,11.346074966564606,3.4950308520750393,0.9981395120405516,1.8949751631804386,0.0065024628181862085,6.983559241331893,29.79846834870766,9.55,31.291392042044606,1.1027114498437987,6690191.467794423,5146235.854291674,50.2839878965636,4.015830159644414,2.2069251676190486e-34
